GATE_SB_SL: -2076.183,-191.796,-1745.837,-706.5486,0,0
GATE_SH_SL: 131.1867,435.3436,386.2557,1141.359,2,0
GATE_GW_SL: -2846.788,293.8913,-2023.292,278.0255,1,0
GATE_FF_SL: 2997.915,-285.6585,2284.645,-376.1395,1,0
SL_COASTSHELTER: 3151.515,-312.197,2400.076,-393.9395,1,0
SL_S02: 199.7492,346.6447,424.9092,1046.338,2,0
SL_A08: -2757.639,181.9551,-1963.232,148.5496,1,0
SL_S07: -2874.681,181.9545,-2011.988,14.85239,1,0
SL_C12: -2448.188,175.4262,-1852.199,144.3752,1,0
SL_B02: 13.36156,184.9551,236.7681,948.5499,2,1
SL_C11: 294.4788,295.5985,524.8541,955.4644,2,1
SL_A14: -58.76224,69.21147,248.7041,798.7139,2,1
SL_E03: 505.2043,68.6882,262.9894,-78.88269,2,1
SL_A02: -244.6391,181.9551,45.76833,945.5499,2,1
SL_A17: -247.5998,68.6346,46.27524,799.0101,2,1
SL_C01: -428.6389,164.9551,-163.231,847.5499,2,1
SL_A13: -372.8904,-52.04496,-211.8598,5.252542,1,1
SL_B01: -629.6385,262.9549,-367.2308,894.5499,2,1
SL_F01: -1901.638,113.9555,-1534.232,62.54928,1,1
SL_C02: -1454.638,177.9551,-1131.231,568.5499,0,1
SL_C10: -1358.637,-215.0447,-1005.231,-215.4504,2,1
SL_A10: -1053.639,-312.0451,-871.2308,-191.4507,2,1
SL_F02: -876.6389,111.9551,-720.2308,494.5496,0,1
SL_S05: -881.5629,146.6027,-609.6114,349.9634,0,0
SL_D06: -1090.639,176.9551,-908.2308,955.5499,2,1
SL_D04: -456.6392,114.9554,-357.2307,498.5496,0,1
SL_A12: -473.4168,-53.04506,-301.6752,-121.0899,1,1
SL_H02: 357.3607,114.9555,-24.23088,514.5496,0,1
SL_H03: 1318.362,174.9551,612.7683,54.54932,0,1
SL_C09: 2216.361,178.9551,1550.768,60.54925,0,2
SL_A16: 2376.122,293.0833,1761.134,141.6168,0,2
SL_S10: 2260.858,292.5645,1644.416,139.396,0,0
