GATE_SB_SL: -1894.969,-211.9999,-1608.525,-735.9911,0,0
GATE_SH_SL: 312.4011,415.1397,523.5674,1111.915,2,0
GATE_GW_SL: -2665.574,273.6874,-1885.98,248.583,1,0
SL_S02: 380.9636,326.4408,562.2209,1016.895,2,0
SL_A08: -2576.425,161.7512,-1825.92,119.1071,1,0
SL_S07: -2693.467,161.7506,-1874.676,-14.59003,1,0
SL_C12: -2266.974,155.2223,-1714.887,114.9327,1,0
SL_B02: 194.5759,164.7512,374.0798,919.1074,2,1
SL_C11: 475.6932,275.3946,662.1656,926.0219,2,1
SL_A14: 122.452,49.0076,386.0157,769.2715,2,1
SL_E03: 686.4183,48.48433,400.3009,-108.3251,2,1
SL_A02: -63.42479,161.7512,183.08,916.1074,2,1
SL_A17: -66.38548,48.43073,183.5869,769.5677,2,1
SL_C01: -247.4245,144.7512,-25.9194,818.1074,2,1
SL_A13: -191.676,-72.24878,-74.54805,-24.18987,1,1
SL_B01: -448.4244,242.751,-229.9193,865.1074,2,1
SL_F01: -1720.424,93.75164,-1396.92,33.10685,1,1
SL_C02: -1273.424,157.7512,-993.9193,539.1074,0,1
SL_C10: -1177.423,-235.2486,-867.9193,-244.8928,2,1
SL_A10: -872.4243,-332.249,-733.9193,-220.8931,2,1
SL_F02: -695.4249,91.75122,-582.9193,465.107,0,1
SL_S05: -700.3488,126.3988,-472.2999,320.521,0,0
SL_D06: -909.4243,156.7512,-770.9193,926.1074,2,1
SL_D04: -275.4247,94.75146,-219.9192,469.107,0,1
SL_A12: -292.2023,-73.24889,-164.3636,-150.5322,1,1
SL_H02: 538.5751,94.75156,113.0808,485.107,0,1
SL_H03: 1499.576,154.7512,747.0798,22.1069,0,1
SL_C09: 2397.575,158.7512,1688.08,31.10682,0,2
SL_A16: 2557.336,272.8794,1898.446,112.1743,0,2
SL_S10: 2442.072,272.3606,1781.728,109.9536,0,0
SL_I01: 2871.575,253.751,2020.083,10.10691,0,2
SL_A15: 3174.965,260.4405,2360.22,96.89585,0,0
SL_S06: 3172.025,366.2226,2358.112,209.9326,0,0
SL_AI: 3401.097,179.8182,2478.064,44.91798,0,2
SL_C08: -1470.424,-229.2486,-1087.919,-432.893,1,1
SL_C05: -1140.424,-330.249,-934.9193,-413.893,1,1
SL_S09: -858.2493,-330.2322,-638.0759,-550.567,1,0
SL_C04: -730.4249,-222.2488,-577.9193,-427.893,1,1
SL_D01: -621.4249,89.75122,-548.9193,25.10685,1,1
SL_D02: -524.4247,-276.2485,-419.9193,-508.8935,1,1
SL_D03: -267.4246,-376.249,-206.9194,-484.8931,1,1
SL_A07: -104.4242,-263.249,42.08061,-401.893,1,1
SL_A04: -228.4246,-190.2488,-114.9191,-277.893,1,1
SL_S03: -288.3488,-113.6011,-280.3,-221.479,2,0
SL_E01: 32.57538,-199.2485,150.0808,-489.8931,1,1
SL_B04: 36.57526,393.751,241.0808,-2.893106,0,1
SL_C03: 37.22526,30.22609,59.08057,0.1069521,0,1
SL_A11: -91.20279,-104.2487,24.63597,-187.5322,1,1
SL_A05: 200.5753,-293.249,273.0807,-382.893,1,1
SL_E02: 721.5735,-312.249,419.0805,-383.893,1,1
SL_S08: 1022.663,-201.3572,830.2635,-258.3345,1,0
SL_C07: 1256.576,-214.2488,997.08,-422.893,1,1
SL_A03: -528.4247,-314.249,-567.9193,-885.8926,0,1
SL_C06: -857.4249,-316.249,-938.9193,-877.8926,0,1
SL_S04: -824.3488,-245.6012,-802.3004,-766.4792,0,0
SL_A06: -1180.423,-319.249,-1082.919,-874.8926,0,1
SL_D05: -1564.424,-321.249,-1544.92,-869.8926,0,1
SL_S11: 825.123,-65.01884,699.6927,-244.4775,2,0
SL_COAST01: 1208.852,64.96425,1112.93,-185.8333,2,1
SL_COAST02: 1642.452,169.1475,1225.68,-110.05,2,1
SL_COAST03: 2290.452,122,1677.5,-185.9516,2,1
OffScreenDen_SL: -1190.423,-71.24878,-1281.92,-145.8931,1,1
Connection: GATE_SB_SL,SL_D05,36,5,5,31,3,2
Connection: GATE_SH_SL,SL_C11,45,11,5,100,0,2
Connection: GATE_SH_SL,SL_S02,36,5,17,17,3,2
Connection: GATE_GW_SL,SL_A08,36,5,9,32,3,1
Connection: SL_A08,SL_S07,4,18,29,18,2,0
Connection: SL_A08,SL_C12,47,15,2,17,0,2
Connection: SL_C12,SL_F01,143,17,6,58,0,2
Connection: SL_B02,SL_A02,12,30,35,28,3,3
Connection: SL_B02,SL_C11,104,32,5,39,3,2
Connection: SL_B02,SL_A14,31,13,23,33,3,1
Connection: SL_A14,SL_A17,2,4,44,4,2,0
Connection: SL_A14,SL_E03,40,4,5,4,0,2
Connection: SL_E03,SL_H03,230,30,57,8,1,3
Connection: SL_E03,SL_COAST01,256,4,8,17,0,2
Connection: SL_E03,SL_S11,173,9,22,17,3,1
Connection: SL_A02,SL_C01,10,28,40,76,3,0
Connection: SL_A02,SL_A17,7,10,8,27,3,1
Connection: SL_C01,SL_B01,9,53,42,16,3,3
Connection: SL_C01,SL_A13,24,21,16,33,3,1
Connection: SL_A13,SL_A04,16,2,28,31,3,1
Connection: SL_B01,SL_D06,3,29,194,14,3,3
Connection: SL_F01,SL_C08,189,62,27,112,3,1
Connection: SL_F01,SL_C02,171,22,14,9,3,3
Connection: SL_C02,SL_D06,55,18,24,22,3,3
Connection: SL_C02,SL_C10,102,15,30,112,3,1
Connection: SL_C02,SL_F02,164,7,3,57,3,3
Connection: SL_C10,SL_A10,49,30,3,18,0,2
Connection: SL_A10,SL_D02,44,18,4,63,0,2
Connection: SL_F02,SL_S05,64,64,9,19,3,2
Connection: SL_F02,SL_D06,62,64,113,31,3,3
Connection: SL_F02,SL_D04,127,49,24,62,3,3
Connection: SL_D04,SL_A12,34,63,10,31,3,1
Connection: SL_D04,SL_H02,70,61,31,66,3,3
Connection: SL_A12,SL_A04,27,3,21,31,3,1
Connection: SL_H02,SL_H03,180,51,38,11,3,3
Connection: SL_H03,SL_C09,425,23,4,17,0,2
Connection: SL_H03,SL_C07,143,31,20,112,3,1
Connection: SL_C09,SL_A16,151,32,43,3,1,3
Connection: SL_A16,SL_S10,4,26,30,26,2,0
Connection: SL_A16,SL_I01,43,13,4,62,0,2
Connection: SL_I01,SL_A15,144,66,3,21,0,2
Connection: SL_A15,SL_S06,43,32,31,20,1,0
Connection: SL_A15,SL_AI,44,3,2,30,0,1
Connection: SL_C08,SL_C05,42,42,6,31,0,2
Connection: SL_C05,SL_S09,155,31,13,31,0,2
Connection: SL_C05,SL_C04,159,20,4,28,0,2
Connection: SL_C04,SL_D01,26,112,12,58,1,3
Connection: SL_D01,SL_D02,82,63,23,145,3,1
Connection: SL_D02,SL_D03,49,63,2,60,0,2
Connection: SL_D03,SL_A04,51,72,9,10,0,0
Connection: SL_D03,SL_A03,8,72,44,27,2,0
Connection: SL_D03,SL_A07,92,70,11,18,0,2
Connection: SL_A07,SL_E01,39,23,4,86,0,2
Connection: SL_A04,SL_S03,4,29,23,12,2,3
Connection: SL_A04,SL_A11,35,31,4,5,1,3
Connection: SL_E01,SL_B04,21,204,23,98,1,3
Connection: SL_E01,SL_C03,11,165,23,100,2,3
Connection: SL_E01,SL_A05,45,66,4,13,0,2
Connection: SL_B04,SL_C03,33,62,42,114,3,3
Connection: SL_C03,SL_A11,16,23,31,32,3,1
Connection: SL_A05,SL_E02,42,29,7,30,0,2
Connection: SL_E02,SL_S08,240,32,35,10,1,3
Connection: SL_E02,SL_C07,248,18,1,28,0,2
Connection: SL_A03,SL_C06,3,30,141,27,2,0
Connection: SL_C06,SL_S04,92,30,24,13,0,3
Connection: SL_C06,SL_A06,2,15,45,17,2,0
Connection: SL_A06,SL_D05,2,17,201,16,2,0
Connection: SL_COAST01,SL_COAST02,43,56,20,9,0,2
Connection: SL_COAST02,SL_COAST03,193,10,26,43,3,3
